user_id,date,steps,calories_burned,resting_hr,sleep_hours,calories_consumed,carbs_g,protein_g,fat_g,workout_label,nutrition_label
39,2025-09-10,10677,3299,76,6.0,2297,196,57,83,intense_workout,reduce_protein_add_carbs
40,2025-09-11,5600,1952,68,7.0,2715,148,46,63,rest_day,reduce_protein_add_carbs
41,2025-09-12,18589,1976,55,5.6,3268,136,53,112,recovery_high_steps,reduce_protein_add_carbs
42,2025-09-13,301,1680,80,9.7,2492,215,92,104,light_walk,balanced_plate
43,2025-09-14,2975,2684,52,4.2,3316,322,83,77,light_walk,carb_boost
44,2025-09-15,5442,3395,73,4.5,3186,226,56,21,rest_day,balanced_plate
45,2025-09-16,12249,2284,89,7.9,1745,275,68,112,intense_workout,calorie_control
46,2025-09-17,5801,2258,75,8.7,2420,112,89,26,rest_day,balanced_plate
47,2025-09-18,12323,2184,69,7.5,1899,241,105,106,rest_day,high_protein
48,2025-09-19,13403,2877,51,6.1,3482,441,80,44,rest_day,carb_boost
49,2025-09-20,16958,2713,71,7.1,3852,279,71,89,intense_workout,balanced_plate
50,2025-09-21,15338,1943,86,6.7,3095,207,34,87,intense_workout,balanced_plate
51,2025-09-22,876,2491,79,6.8,1768,469,135,49,light_walk,high_protein
52,2025-09-23,8311,2330,68,6.1,3474,445,130,109,rest_day,high_protein
53,2025-09-24,8308,3353,72,6.0,3431,228,87,20,rest_day,balanced_plate
54,2025-09-25,13407,3161,74,7.6,2396,371,90,83,intense_workout,carb_boost
55,2025-09-26,9662,2080,71,8.1,1653,243,80,105,rest_day,calorie_control
56,2025-09-27,19128,2808,63,3.6,2508,193,139,81,recovery_high_steps,high_protein
57,2025-09-28,11151,1717,75,6.4,2050,199,62,113,intense_workout,balanced_plate
58,2025-09-29,4452,1522,59,9.6,3989,195,30,88,light_walk,reduce_protein_add_carbs
59,2025-09-30,16364,2015,65,3.5,3282,357,142,111,recovery_high_steps,high_protein
60,2025-09-1,851,3187,61,5.7,3927,132,62,80,gentle_stretching,balanced_plate
61,2025-09-2,2738,2950,86,7.4,2940,267,103,62,light_walk,high_protein
62,2025-09-3,10636,1511,80,5.6,2253,134,116,100,intense_workout,high_protein
63,2025-09-4,16281,2469,75,5.4,1614,204,36,87,recovery_high_steps,calorie_control
64,2025-09-5,17209,3024,60,9.1,2228,376,65,29,rest_day,carb_boost
65,2025-09-6,5988,1956,73,8.6,2622,135,111,115,rest_day,high_protein
66,2025-09-7,7357,3259,86,4.7,3048,378,118,118,rest_day,high_protein
67,2025-09-8,13584,3404,69,8.8,2865,496,88,38,rest_day,carb_boost
68,2025-09-9,14512,3135,61,9.7,1575,364,100,47,rest_day,carb_boost
69,2025-09-10,17101,2234,68,6.5,1643,472,98,118,rest_day,carb_boost
70,2025-09-11,4491,2548,70,8.3,2667,156,68,72,light_walk,balanced_plate
71,2025-09-12,11174,1897,80,3.4,2738,320,136,94,intense_workout,high_protein
72,2025-09-13,6801,2250,61,7.8,2453,352,131,26,rest_day,high_protein
73,2025-09-14,13964,2691,58,8.8,2717,104,58,56,rest_day,reduce_protein_add_carbs
74,2025-09-15,13807,2888,50,9.2,3180,426,118,64,rest_day,high_protein
75,2025-09-16,3141,2775,80,6.4,2705,266,120,93,light_walk,high_protein
76,2025-09-17,15485,2974,62,5.8,2581,247,121,91,recovery_high_steps,high_protein
77,2025-09-18,13116,2394,90,8.2,3934,447,91,82,intense_workout,carb_boost
78,2025-09-19,1531,2892,74,9.1,2433,216,35,77,light_walk,balanced_plate
79,2025-09-20,3627,2184,81,6.9,2314,248,109,104,light_walk,high_protein
80,2025-09-21,11003,2752,85,6.9,3055,146,134,68,intense_workout,high_protein
81,2025-09-22,5645,2666,80,10.0,1970,111,103,115,rest_day,high_protein
82,2025-09-23,11023,2467,87,6.2,2167,472,37,111,intense_workout,carb_boost
83,2025-09-24,3719,2197,77,3.5,1540,327,93,46,light_walk,carb_boost
84,2025-09-25,14837,2458,66,5.0,3536,311,106,111,recovery_high_steps,high_protein
85,2025-09-26,17308,2408,84,8.8,3117,470,98,66,intense_workout,carb_boost
86,2025-09-27,10136,1949,59,9.5,2376,104,148,52,rest_day,high_protein
87,2025-09-28,2193,1723,60,7.2,1562,316,115,78,light_walk,high_protein
88,2025-09-29,6938,2188,62,3.4,3652,198,30,40,rest_day,reduce_protein_add_carbs
89,2025-09-30,8175,2322,55,7.8,3168,457,32,72,rest_day,carb_boost
90,2025-09-1,3636,2176,59,8.9,2668,184,107,92,light_walk,high_protein
91,2025-09-2,5997,1500,62,4.5,1948,468,133,51,rest_day,high_protein
92,2025-09-3,3419,1594,57,3.2,1749,261,83,22,light_walk,calorie_control
93,2025-09-4,4363,3484,54,3.6,2262,412,46,66,light_walk,carb_boost
94,2025-09-5,15254,2730,86,7.3,2077,174,80,57,intense_workout,balanced_plate
95,2025-09-6,13051,2237,87,7.3,2858,446,80,82,intense_workout,carb_boost
96,2025-09-7,10209,2831,87,6.2,2858,129,148,70,intense_workout,high_protein
97,2025-09-8,10320,1632,78,4.0,3731,429,46,103,intense_workout,carb_boost
98,2025-09-9,4164,2045,55,6.4,1704,225,136,62,light_walk,high_protein
99,2025-09-10,12015,3494,72,3.9,3642,473,45,27,recovery_high_steps,carb_boost
100,2025-09-11,12647,2399,74,9.3,2166,192,61,69,intense_workout,balanced_plate
101,2025-09-12,11314,2926,70,4.2,2103,269,90,41,rest_day,balanced_plate
102,2025-09-13,13716,2337,50,6.7,2023,445,75,53,rest_day,carb_boost
103,2025-09-14,10160,2601,75,7.8,3796,146,115,75,intense_workout,high_protein
104,2025-09-15,12394,2330,66,4.9,2780,107,142,118,recovery_high_steps,high_protein
105,2025-09-16,17660,3215,64,6.8,1555,313,43,109,rest_day,carb_boost
106,2025-09-17,8150,1577,73,8.0,2025,286,85,26,rest_day,balanced_plate
107,2025-09-18,5122,3146,72,6.6,3274,373,67,118,rest_day,carb_boost
108,2025-09-19,1906,2538,74,8.2,3575,301,68,76,light_walk,carb_boost
109,2025-09-20,17680,2754,71,5.3,2036,244,42,103,recovery_high_steps,balanced_plate
110,2025-09-21,6168,3103,59,8.5,3656,245,140,119,rest_day,high_protein
111,2025-09-22,14369,2122,57,7.1,3972,200,35,71,rest_day,balanced_plate
112,2025-09-23,15679,3261,55,7.2,2812,249,50,89,rest_day,balanced_plate
113,2025-09-24,1605,3026,53,9.0,3897,194,53,74,light_walk,reduce_protein_add_carbs
114,2025-09-25,13046,2398,80,5.9,2419,322,35,85,recovery_high_steps,carb_boost
115,2025-09-26,8659,3255,60,9.1,2145,217,142,113,rest_day,high_protein
116,2025-09-27,18935,2446,51,6.9,2915,125,80,64,rest_day,balanced_plate
117,2025-09-28,6469,2933,53,6.0,1724,119,142,31,rest_day,high_protein
118,2025-09-29,2048,1589,63,5.0,3328,481,40,119,light_walk,carb_boost
119,2025-09-30,6988,1758,82,5.6,3539,109,34,42,rest_day,reduce_protein_add_carbs
120,2025-09-1,9865,1671,51,5.3,3119,420,92,92,rest_day,carb_boost
121,2025-09-2,19216,2276,60,6.3,3538,193,124,68,rest_day,high_protein
122,2025-09-3,17988,1817,63,9.5,2660,175,128,54,rest_day,high_protein
123,2025-09-4,18944,2819,71,3.3,2872,427,40,33,recovery_high_steps,carb_boost
124,2025-09-5,15524,1504,68,7.7,1631,188,138,61,rest_day,high_protein
125,2025-09-6,18520,1901,89,6.2,2115,113,61,70,intense_workout,balanced_plate
126,2025-09-7,7804,1921,82,8.2,3690,252,46,116,rest_day,balanced_plate
127,2025-09-8,11246,2002,51,6.8,3651,138,80,89,rest_day,balanced_plate
128,2025-09-9,17586,3491,64,9.2,2812,330,56,55,rest_day,carb_boost
129,2025-09-10,18588,2049,82,7.9,2450,388,97,105,intense_workout,carb_boost
130,2025-09-11,4612,3158,59,5.4,3432,258,76,119,light_walk,balanced_plate
131,2025-09-12,6359,2447,64,8.6,3594,423,105,64,rest_day,high_protein
132,2025-09-13,15770,1594,85,6.8,3334,382,98,39,intense_workout,carb_boost
133,2025-09-14,12298,2777,59,5.4,2211,122,76,109,recovery_high_steps,balanced_plate
134,2025-09-15,10541,1862,61,9.4,2484,210,133,79,rest_day,high_protein
135,2025-09-16,19915,2503,85,9.4,3363,226,135,111,intense_workout,high_protein
136,2025-09-17,11641,3428,78,3.7,2930,356,75,40,intense_workout,carb_boost
137,2025-09-18,3417,3145,85,3.9,3354,154,144,59,light_walk,high_protein
138,2025-09-19,2708,2954,58,8.2,1701,412,146,45,light_walk,high_protein
139,2025-09-20,13224,3326,74,9.0,1885,490,111,110,intense_workout,high_protein
140,2025-09-21,3600,2139,73,7.0,2703,297,146,107,light_walk,high_protein
141,2025-09-22,13472,1676,78,7.1,2161,253,57,104,intense_workout,balanced_plate
142,2025-09-23,17350,2348,69,6.2,1647,217,115,111,rest_day,high_protein
143,2025-09-24,9916,2883,56,7.2,2489,314,80,75,rest_day,carb_boost
144,2025-09-25,2079,2169,78,7.4,3000,385,45,59,light_walk,carb_boost
145,2025-09-26,18449,2268,63,8.0,1693,212,143,113,rest_day,high_protein
146,2025-09-27,5797,2446,53,4.3,1554,458,32,51,rest_day,carb_boost
147,2025-09-28,4873,2981,68,7.5,3634,154,121,51,light_walk,high_protein
148,2025-09-29,19846,2872,57,3.2,3358,354,101,73,recovery_high_steps,high_protein
149,2025-09-30,19694,2752,52,9.2,2787,390,125,107,rest_day,high_protein
150,2025-09-1,9503,2643,65,5.8,1664,281,114,33,rest_day,high_protein
151,2025-09-2,15070,2322,67,3.1,2274,260,52,104,recovery_high_steps,balanced_plate
152,2025-09-3,3452,2414,85,7.5,1581,101,30,66,light_walk,reduce_protein_add_carbs
153,2025-09-4,19978,2245,51,5.5,1895,119,34,56,recovery_high_steps,reduce_protein_add_carbs
154,2025-09-5,13221,2779,79,5.5,2576,454,145,105,recovery_high_steps,high_protein
155,2025-09-6,17771,2803,66,9.1,3606,314,125,100,rest_day,high_protein
156,2025-09-7,3186,2732,63,8.2,1736,380,132,92,light_walk,high_protein
157,2025-09-8,17685,2758,53,3.9,3576,208,127,106,recovery_high_steps,high_protein
158,2025-09-9,8996,1574,55,9.4,3589,455,70,57,rest_day,carb_boost
159,2025-09-10,7184,3200,74,6.5,2087,186,146,105,rest_day,high_protein
160,2025-09-11,18458,3348,80,9.1,1667,197,41,72,intense_workout,reduce_protein_add_carbs
161,2025-09-12,8646,2405,66,5.9,2201,221,75,83,rest_day,balanced_plate
162,2025-09-13,3067,3345,50,3.6,2894,381,58,40,light_walk,carb_boost
163,2025-09-14,6819,2636,88,7.3,2833,197,84,43,rest_day,balanced_plate
164,2025-09-15,4853,1905,54,6.4,3285,135,140,39,light_walk,high_protein
165,2025-09-16,15826,3262,66,6.5,1864,300,55,85,rest_day,balanced_plate
166,2025-09-17,1524,1572,58,5.5,3164,316,90,62,gentle_stretching,carb_boost
167,2025-09-18,18023,1541,74,4.7,1630,328,137,63,recovery_high_steps,high_protein
168,2025-09-19,9650,3001,87,7.1,3822,200,73,78,rest_day,balanced_plate
169,2025-09-20,4090,2316,66,9.7,3020,402,41,81,light_walk,carb_boost
170,2025-09-21,11855,1715,68,8.1,3250,473,109,89,rest_day,high_protein
171,2025-09-22,5319,3060,67,6.4,1988,464,55,66,rest_day,carb_boost
172,2025-09-23,4873,2539,56,10.0,3317,185,36,33,light_walk,reduce_protein_add_carbs
173,2025-09-24,4430,2128,56,5.1,3021,414,116,112,light_walk,high_protein
174,2025-09-25,6737,2746,79,3.4,1901,202,46,33,rest_day,balanced_plate
175,2025-09-26,9374,2675,84,6.9,2621,230,66,62,rest_day,balanced_plate
176,2025-09-27,2983,2485,72,3.5,2872,496,111,52,light_walk,high_protein
177,2025-09-28,13737,2631,51,3.2,2045,350,148,32,recovery_high_steps,high_protein
178,2025-09-29,15775,3131,84,3.5,2313,128,91,112,recovery_high_steps,balanced_plate
179,2025-09-30,8436,2247,65,9.1,2762,476,39,49,rest_day,carb_boost
180,2025-09-1,17304,2882,69,8.2,3550,241,149,49,rest_day,high_protein
181,2025-09-2,2033,1823,67,4.6,1931,292,82,98,light_walk,balanced_plate
182,2025-09-3,2632,1898,73,3.9,3734,392,90,62,light_walk,carb_boost
183,2025-09-4,4805,2306,73,6.3,3368,325,54,90,light_walk,carb_boost
184,2025-09-5,14899,2271,57,9.6,2833,472,144,93,rest_day,high_protein
185,2025-09-6,7274,1725,75,3.3,3806,475,35,24,rest_day,carb_boost
186,2025-09-7,18180,1553,72,9.2,2543,477,142,80,intense_workout,high_protein
187,2025-09-8,10106,3013,84,8.3,3609,244,117,22,intense_workout,high_protein
188,2025-09-9,7906,2280,74,7.2,3433,456,127,30,rest_day,high_protein
189,2025-09-10,18024,2451,52,4.9,2718,325,105,61,recovery_high_steps,high_protein
190,2025-09-11,13774,1539,74,6.9,2454,325,117,98,intense_workout,high_protein
191,2025-09-12,4133,1827,54,3.3,2413,136,89,67,light_walk,balanced_plate
192,2025-09-13,3020,2295,54,9.9,2637,139,74,115,light_walk,balanced_plate
193,2025-09-14,16701,1848,52,5.4,3389,139,120,96,recovery_high_steps,high_protein
194,2025-09-15,1312,2785,73,8.6,3639,452,88,78,light_walk,carb_boost
195,2025-09-16,18088,2280,74,9.5,1855,290,56,57,intense_workout,balanced_plate
196,2025-09-17,16106,2056,80,8.8,3910,257,68,50,intense_workout,balanced_plate
197,2025-09-18,18787,2781,63,8.3,3047,394,95,115,rest_day,carb_boost
198,2025-09-19,9882,2636,90,7.4,2199,443,138,54,rest_day,high_protein
199,2025-09-20,1007,2849,68,8.3,2085,332,125,117,light_walk,high_protein
200,2025-09-21,1435,2071,64,9.5,2488,377,97,39,light_walk,carb_boost
201,2025-09-22,18271,1983,53,5.1,2540,111,51,36,recovery_high_steps,reduce_protein_add_carbs
202,2025-09-23,8073,2385,50,3.4,3757,405,43,83,rest_day,carb_boost
203,2025-09-24,17070,1784,61,8.2,2750,480,105,26,rest_day,high_protein
204,2025-09-25,11296,3169,64,8.7,2069,125,127,65,rest_day,high_protein
205,2025-09-26,13025,2808,53,6.0,3944,138,44,48,rest_day,reduce_protein_add_carbs
206,2025-09-27,10396,2598,81,3.6,2473,183,51,94,intense_workout,reduce_protein_add_carbs
207,2025-09-28,19280,2905,77,8.1,3850,456,88,103,intense_workout,carb_boost
208,2025-09-29,16133,3182,54,9.9,2069,479,67,34,rest_day,carb_boost
209,2025-09-30,11425,3480,84,3.2,2292,379,41,37,intense_workout,carb_boost
210,2025-09-1,5390,1991,65,6.8,2583,244,122,72,rest_day,high_protein
211,2025-09-2,8711,2090,76,8.9,3535,298,32,112,rest_day,balanced_plate
212,2025-09-3,17343,3463,73,9.4,2026,252,123,97,intense_workout,high_protein
213,2025-09-4,11536,3417,69,6.0,3201,418,115,21,rest_day,high_protein
214,2025-09-5,16967,1894,62,4.0,1773,419,111,114,recovery_high_steps,high_protein
215,2025-09-6,8357,3067,60,7.9,3543,201,70,27,rest_day,balanced_plate
216,2025-09-7,17162,1713,73,4.0,3195,179,83,105,recovery_high_steps,balanced_plate
217,2025-09-8,16019,2172,59,8.4,1741,452,31,116,rest_day,carb_boost
218,2025-09-9,14056,3496,79,3.2,3663,253,51,85,recovery_high_steps,balanced_plate
219,2025-09-10,15525,2370,75,7.8,1642,205,148,63,intense_workout,high_protein
220,2025-09-11,18279,3494,52,9.3,3556,361,102,114,rest_day,high_protein
221,2025-09-12,552,2893,61,9.1,3213,447,91,103,light_walk,carb_boost
222,2025-09-13,13629,1610,56,7.6,1707,487,35,77,rest_day,carb_boost
223,2025-09-14,16405,1909,52,3.3,2373,113,104,101,recovery_high_steps,high_protein
224,2025-09-15,15349,2535,72,7.6,3060,400,144,38,intense_workout,high_protein
225,2025-09-16,19811,2184,57,9.1,3856,282,61,70,rest_day,balanced_plate
226,2025-09-17,10181,2413,68,4.6,1811,460,88,22,rest_day,carb_boost
227,2025-09-18,14025,2254,84,4.5,3482,306,126,26,recovery_high_steps,high_protein
228,2025-09-19,7005,3248,80,5.9,3571,392,33,111,rest_day,carb_boost
229,2025-09-20,3453,2031,73,6.8,2107,204,65,117,light_walk,balanced_plate
230,2025-09-21,12003,2077,64,9.3,3297,394,71,77,rest_day,carb_boost
231,2025-09-22,9461,2136,61,5.7,2029,139,50,34,rest_day,reduce_protein_add_carbs
232,2025-09-23,19975,1599,79,4.3,2439,113,107,21,recovery_high_steps,high_protein
233,2025-09-24,374,1792,54,3.5,2052,417,147,79,gentle_stretching,high_protein
234,2025-09-25,1646,1513,88,5.5,1629,330,99,36,gentle_stretching,carb_boost
235,2025-09-26,2113,2686,86,3.1,2972,263,74,42,light_walk,balanced_plate
236,2025-09-27,3374,1786,60,9.2,2129,369,109,93,light_walk,high_protein
237,2025-09-28,5724,3301,61,8.8,2780,232,49,27,rest_day,balanced_plate
238,2025-09-29,13994,2471,50,4.8,3503,383,136,56,recovery_high_steps,high_protein
239,2025-09-30,19118,2727,86,8.5,3155,143,85,47,intense_workout,balanced_plate
240,2025-09-1,17774,3242,55,4.4,2456,469,107,21,recovery_high_steps,high_protein
241,2025-09-2,968,2010,86,9.6,3666,134,99,78,light_walk,balanced_plate
242,2025-09-3,6980,2684,63,7.8,1775,280,143,107,rest_day,high_protein
243,2025-09-4,5370,3334,83,5.3,2708,138,124,75,rest_day,high_protein
244,2025-09-5,6638,1926,72,7.7,3698,483,74,71,rest_day,carb_boost
245,2025-09-6,1969,2245,57,9.8,1628,363,58,115,light_walk,carb_boost
246,2025-09-7,13669,2016,71,4.8,3858,218,119,62,recovery_high_steps,high_protein
247,2025-09-8,15504,3061,57,9.1,2087,427,118,65,rest_day,high_protein
248,2025-09-9,3072,2670,80,7.6,2827,168,134,109,light_walk,high_protein
249,2025-09-10,8125,2743,51,10.0,2074,172,62,60,rest_day,balanced_plate
250,2025-09-11,12975,2280,58,3.6,1988,423,127,23,recovery_high_steps,high_protein
251,2025-09-12,4114,2977,83,8.3,2500,378,112,94,light_walk,high_protein
252,2025-09-13,3712,2867,56,3.0,2210,242,50,38,light_walk,balanced_plate
253,2025-09-14,2875,2104,74,7.2,2235,390,73,109,light_walk,carb_boost
254,2025-09-15,11530,2366,57,7.7,2461,364,32,104,rest_day,carb_boost
255,2025-09-16,6471,2315,51,6.4,2677,252,41,24,rest_day,balanced_plate
256,2025-09-17,16353,1803,86,4.7,3263,370,72,67,recovery_high_steps,carb_boost
257,2025-09-18,16173,1997,70,4.4,2514,435,76,34,recovery_high_steps,carb_boost
258,2025-09-19,8906,1550,64,4.4,1640,374,63,97,rest_day,carb_boost
259,2025-09-20,6012,2463,76,9.5,2679,390,37,35,rest_day,carb_boost
260,2025-09-21,16489,2943,79,8.0,3637,444,123,94,intense_workout,high_protein
261,2025-09-22,1286,2874,59,8.6,3706,170,92,75,light_walk,balanced_plate
262,2025-09-23,15600,3461,85,6.0,3298,409,30,63,intense_workout,carb_boost
263,2025-09-24,5495,3208,62,7.2,2800,313,121,28,rest_day,high_protein
264,2025-09-25,19481,2020,64,7.3,3925,220,71,91,rest_day,balanced_plate
265,2025-09-26,6295,2219,75,4.8,3103,149,53,38,rest_day,reduce_protein_add_carbs
266,2025-09-27,3683,2583,88,7.7,1645,263,103,116,light_walk,high_protein
267,2025-09-28,9654,1741,54,4.2,1982,207,127,52,rest_day,high_protein
268,2025-09-29,17014,2160,66,4.2,3966,259,40,29,recovery_high_steps,balanced_plate
269,2025-09-30,9160,2089,62,7.2,2420,357,93,54,rest_day,carb_boost
270,2025-09-1,4358,3120,67,5.8,2498,379,89,65,light_walk,carb_boost
271,2025-09-2,5699,2741,87,7.0,2690,208,139,55,rest_day,high_protein
272,2025-09-3,13031,3264,82,7.2,1572,235,126,89,intense_workout,high_protein
273,2025-09-4,2472,2498,53,6.1,2455,104,73,46,light_walk,balanced_plate
274,2025-09-5,4255,1648,57,9.2,3085,166,147,63,light_walk,high_protein
275,2025-09-6,2428,1557,52,4.3,2653,314,73,21,light_walk,carb_boost
276,2025-09-7,9686,3321,57,7.1,2965,135,98,96,rest_day,balanced_plate
277,2025-09-8,15836,1786,65,5.9,2132,154,45,31,recovery_high_steps,reduce_protein_add_carbs
278,2025-09-9,13711,3431,57,8.6,3179,129,138,42,rest_day,high_protein
279,2025-09-10,4443,2126,89,3.1,3503,459,149,84,light_walk,high_protein
280,2025-09-11,16669,1648,69,7.4,1955,330,61,52,rest_day,carb_boost
281,2025-09-12,17396,2283,61,8.5,1980,250,143,85,rest_day,high_protein
282,2025-09-13,18792,1840,51,9.6,3996,430,96,71,rest_day,carb_boost
283,2025-09-14,9917,2930,75,7.2,1810,361,64,41,rest_day,carb_boost
284,2025-09-15,10382,1841,86,5.7,1511,338,78,61,intense_workout,carb_boost
285,2025-09-16,1826,2681,73,6.7,1633,166,109,26,light_walk,high_protein
286,2025-09-17,7693,1572,64,5.8,1629,305,49,101,rest_day,carb_boost
287,2025-09-18,16127,1765,74,7.0,3800,409,62,55,intense_workout,carb_boost
288,2025-09-19,8286,3305,50,7.2,2321,337,81,22,rest_day,carb_boost
289,2025-09-20,2530,3460,55,4.0,2463,124,108,87,light_walk,high_protein
290,2025-09-21,7340,3479,61,9.8,1591,240,60,97,rest_day,calorie_control
291,2025-09-22,19420,3351,55,3.0,1542,353,31,79,recovery_high_steps,carb_boost
292,2025-09-23,6610,1786,54,8.5,3892,229,40,69,rest_day,balanced_plate
293,2025-09-24,13564,3450,64,9.9,3630,492,128,40,rest_day,high_protein
294,2025-09-25,5448,2679,56,7.8,2108,359,33,59,rest_day,carb_boost
295,2025-09-26,10340,2882,78,7.4,1623,330,79,82,intense_workout,carb_boost
296,2025-09-27,9700,3151,84,5.6,3639,113,100,105,rest_day,balanced_plate
297,2025-09-28,3716,2009,51,3.9,3952,345,131,98,light_walk,high_protein
298,2025-09-29,10900,2149,72,4.0,2946,488,94,32,intense_workout,carb_boost
299,2025-09-30,14828,2736,67,3.5,2171,263,110,118,recovery_high_steps,high_protein
300,2025-09-1,4795,1894,70,8.9,1682,216,55,87,light_walk,calorie_control
301,2025-09-2,4719,3287,67,6.3,3268,320,81,48,light_walk,carb_boost
302,2025-09-3,19877,2053,70,9.7,1604,291,46,28,rest_day,calorie_control
303,2025-09-4,6272,2653,78,5.0,1741,413,89,40,rest_day,carb_boost
304,2025-09-5,8906,2258,83,5.7,3747,178,46,79,rest_day,reduce_protein_add_carbs
305,2025-09-6,14916,2939,50,6.1,2531,432,101,106,rest_day,high_protein
306,2025-09-7,3456,3144,73,3.7,3168,247,50,77,light_walk,balanced_plate
307,2025-09-8,10142,1865,85,5.4,1898,310,36,47,intense_workout,carb_boost
308,2025-09-9,8964,1849,81,3.5,3685,137,140,115,rest_day,high_protein
309,2025-09-10,6511,2743,66,5.1,1859,428,95,98,rest_day,carb_boost
310,2025-09-11,11824,3327,53,8.4,3716,316,148,81,rest_day,high_protein
311,2025-09-12,6910,1869,59,8.6,2151,446,133,21,rest_day,high_protein
312,2025-09-13,780,3216,81,8.2,2811,387,127,30,light_walk,high_protein
313,2025-09-14,16905,2282,66,9.5,3730,252,133,78,rest_day,high_protein
314,2025-09-15,16377,2484,71,4.9,3503,312,73,51,recovery_high_steps,carb_boost
315,2025-09-16,685,1612,70,5.0,3067,321,148,58,gentle_stretching,high_protein
316,2025-09-17,10736,2279,90,6.8,3696,496,50,27,intense_workout,carb_boost
317,2025-09-18,301,2883,56,4.3,3259,302,115,41,gentle_stretching,high_protein
318,2025-09-19,10773,2359,78,8.1,2269,128,114,98,intense_workout,high_protein
319,2025-09-20,15921,3130,64,6.5,1587,143,106,41,rest_day,high_protein
320,2025-09-21,3754,1920,82,6.6,2202,217,48,42,light_walk,balanced_plate
321,2025-09-22,18844,2553,88,7.0,2804,227,130,27,intense_workout,high_protein
322,2025-09-23,8553,2709,65,8.7,3399,360,32,84,rest_day,carb_boost
323,2025-09-24,6019,2627,84,5.8,2373,453,136,108,rest_day,high_protein
324,2025-09-25,3081,2928,88,7.3,3659,112,38,55,light_walk,reduce_protein_add_carbs
325,2025-09-26,14933,1733,75,8.9,3756,113,63,72,intense_workout,balanced_plate
326,2025-09-27,15379,2086,65,4.0,2514,169,85,102,recovery_high_steps,balanced_plate
327,2025-09-28,17508,2197,53,5.7,2655,119,39,43,recovery_high_steps,reduce_protein_add_carbs
328,2025-09-29,1013,1726,75,5.7,2992,409,133,40,gentle_stretching,high_protein
329,2025-09-30,14537,1537,53,4.3,2440,119,46,90,recovery_high_steps,reduce_protein_add_carbs
